pattern_id,class_id,count,delivery_offset_s
P000220,C001,1,939.3587719896758
P000220,C002,1,939.3587719896758
P000220,C008,1,1561.5976090067682
P000221,C001,1,1940.4109774198039
P000221,C002,1,1940.4109774198039
P000221,C008,1,1285.8054737360449
P000222,C001,1,939.3587719896758
P000222,C002,1,939.3587719896758
P000222,C007,1,1561.5976090067682
P000223,C001,1,1940.4109774198039
P000223,C002,1,1940.4109774198039
P000223,C007,1,1285.8054737360449
P000224,C006,1,879.3587719896758
P000224,C012,1,1907.5395805467952
P000225,C005,1,879.3587719896758
P000225,C012,1,1907.5395805467952
P000226,C004,1,879.3587719896758
P000226,C012,1,1907.5395805467952
P000227,C004,1,2417.5926383045753
P000227,C012,1,1379.111829747456
P000228,C003,1,879.3587719896758
P000228,C013,1,1907.5395805467952
P000229,C003,1,879.3587719896758
P000229,C012,1,1907.5395805467952
P000230,C003,1,2417.5926383045753
P000230,C012,1,1379.111829747456
P000231,C002,1,879.3587719896758
P000231,C014,1,1907.5395805467952
P000232,C002,1,2417.5926383045753
P000232,C014,1,1379.111829747456
P000233,C002,1,879.3587719896758
P000233,C013,1,1907.5395805467952
P000234,C002,1,2417.5926383045753
P000234,C013,1,1379.111829747456
P000235,C002,1,879.3587719896758
P000235,C012,1,1907.5395805467952
P000236,C002,1,2417.5926383045753
P000236,C012,1,1379.111829747456
P000237,C002,1,909.3587719896758
P000237,C012,1,1967.5395805467952
P000237,C014,1,1967.5395805467952
P000238,C002,1,2477.5926383045753
P000238,C012,1,1439.111829747456
P000238,C014,1,1439.111829747456
P000239,C002,1,909.3587719896758
P000239,C012,1,1967.5395805467952
P000239,C013,1,1967.5395805467952
P000240,C002,1,2477.5926383045753
P000240,C012,1,1439.111829747456
P000240,C013,1,1439.111829747456
P000241,C002,1,939.3587719896758
P000241,C006,1,939.3587719896758
P000241,C012,1,1967.5395805467952
P000242,C002,1,939.3587719896758
P000242,C005,1,939.3587719896758
P000242,C012,1,1967.5395805467952
P000243,C002,1,939.3587719896758
P000243,C004,1,939.3587719896758
P000243,C012,1,1967.5395805467952
P000244,C002,1,939.3587719896758
P000244,C003,1,939.3587719896758
P000244,C012,1,1967.5395805467952
P000245,C001,1,879.3587719896758
P000245,C014,1,1907.5395805467952
P000246,C001,1,2417.5926383045753
P000246,C014,1,1379.111829747456
P000247,C001,1,879.3587719896758
P000247,C013,1,1907.5395805467952
P000248,C001,1,2417.5926383045753
P000248,C013,1,1379.111829747456
P000249,C001,1,879.3587719896758
P000249,C012,1,1907.5395805467952
P000250,C001,1,2417.5926383045753
P000250,C012,1,1379.111829747456
P000251,C001,1,909.3587719896758
P000251,C012,1,1967.5395805467952
P000251,C014,1,1967.5395805467952
P000252,C001,1,2477.5926383045753
P000252,C012,1,1439.111829747456
P000252,C014,1,1439.111829747456
P000253,C001,1,909.3587719896758
P000253,C012,1,1967.5395805467952
P000253,C013,1,1967.5395805467952
