from,to,distance_old,h_max_old,cruise_height_old,climb_height_old,descent_height_old,distance_new,h_max_new,cruise_height_new,climb_height_new,descent_height_new,delta_h_max,delta_cruise_height
S003,S007,2732.819379995153,340.25994873046875,390.2599487304688,51.75994873046875,41.75994873046875,2732.819379995153,360.6993408203125,410.6993408203125,72.1993408203125,62.1993408203125,20.43939208984375,20.439392089843693
S003,S008,6261.086594538331,728.3842163085938,778.3842163085938,439.88421630859375,507.4842163085938,6261.086594538331,746.0787353515625,796.0787353515625,457.5787353515625,525.1787353515625,17.69451904296875,17.69451904296875
S003,S009,8884.798812209401,533.1013793945312,583.1013793945312,244.60137939453125,353.10137939453125,8884.798812209401,544.588134765625,594.588134765625,256.088134765625,364.588134765625,11.48675537109375,11.48675537109375
S003,S010,11208.756415778262,447.7925720214844,497.7925720214844,159.29257202148438,146.19257202148435,11208.756415778262,466.9641723632813,516.9641723632812,178.46417236328125,165.36417236328123,19.171600341796932,19.171600341796875
S003,S011,5348.792842148937,308.5106811523437,358.5106811523437,20.01068115234375,146.41068115234376,5348.792842148937,485.42230224609375,535.4223022460938,196.92230224609372,323.3223022460937,176.91162109375006,176.91162109375006
S003,S012,11798.876846452911,521.2055053710938,571.2055053710938,232.70550537109372,291.40550537109374,11798.876846452911,544.5889282226562,594.5889282226562,256.08892822265625,314.78892822265624,23.3834228515625,23.3834228515625
S003,S013,10540.90703152578,352.1977844238281,402.1977844238281,63.697784423828125,50.497784423828136,10540.90703152578,505.94439697265625,555.9443969726562,217.44439697265625,204.24439697265623,153.74661254882812,153.74661254882812
S003,S014,12372.475028998617,515.6901245117188,565.6901245117188,227.19012451171875,214.69012451171875,12372.475028998617,542.7295532226562,592.7295532226562,254.22955322265625,241.72955322265625,27.0394287109375,27.0394287109375
S003,S015,2614.3562499141703,471.0312194824219,521.0312194824219,182.53121948242188,46.53121948242188,2614.3562499141703,437.89886474609375,487.89886474609375,149.39886474609375,13.39886474609375,-33.132354736328125,-33.132354736328125
S004,O01,7745.651742751971,322.0750427246094,372.0750427246094,143.77504272460936,244.3750427246094,7745.651742751971,348.2391662597656,398.2391662597656,169.9391662597656,270.53916625976564,26.16412353515625,26.16412353515625
S004,S001,4947.397665203851,263.0527038574219,313.0527038574219,84.75270385742186,129.05270385742188,4947.397665203851,358.7777404785156,408.7777404785156,180.4777404785156,224.7777404785156,95.72503662109375,95.72503662109375
S004,S002,2246.1060981727182,292.4277038574219,342.4277038574219,114.12770385742186,122.92770385742188,2246.1060981727182,283.658203125,333.658203125,105.358203125,114.158203125,-8.769500732421875,-8.769500732421875
S004,S003,8230.547637960408,338.620361328125,388.620361328125,160.320361328125,50.120361328125,8230.547637960408,674.2682495117188,724.2682495117188,495.96824951171874,385.7682495117188,335.64788818359375,335.64788818359375
S004,S005,2616.5100450468835,330.35888671875,380.35888671875,152.05888671875,185.35888671875,2616.5100450468835,315.8065795898437,365.80657958984375,137.50657958984374,170.80657958984375,-14.552307128906307,-14.55230712890625
S004,S006,8731.247626205603,670.895751953125,720.895751953125,492.595751953125,406.095751953125,8731.247626205603,375.2806396484375,425.2806396484375,196.9806396484375,110.48063964843747,-295.6151123046875,-295.6151123046875
S004,S007,7107.951861397632,568.4234008789062,618.4234008789062,390.12340087890624,269.92340087890625,7107.951861397632,543.2369995117188,593.2369995117188,364.93699951171874,244.73699951171875,-25.1864013671875,-25.1864013671875
S004,S008,2607.406751047093,248.2891845703125,298.2891845703125,69.98918457031249,27.389184570312523,2607.406751047093,336.83349609375,386.83349609375,158.53349609375,115.93349609375002,88.5443115234375,88.5443115234375
S004,S009,2992.117958428195,283.9389038085937,333.9389038085937,105.63890380859374,103.93890380859376,2992.117958428195,275.2157897949219,325.2157897949219,96.91578979492186,95.21578979492188,-8.723114013671818,-8.723114013671818
S004,S010,7564.544903096997,321.5816650390625,371.5816650390625,143.2816650390625,19.98166503906248,7564.544903096997,432.957275390625,482.957275390625,254.657275390625,131.35727539062498,111.3756103515625,111.3756103515625
S004,S011,5422.186185981828,335.5636291503906,385.5636291503906,157.2636291503906,173.46362915039063,5422.186185981828,311.138916015625,361.138916015625,132.838916015625,149.038916015625,-24.424713134765625,-24.424713134765625
S004,S012,5283.739027383003,300.28125,350.28125,121.98125,70.48124999999999,5283.739027383003,312.0069580078125,362.0069580078125,133.7069580078125,82.20695800781249,11.7257080078125,11.7257080078125
S004,S013,6210.781847328471,331.4889831542969,381.4889831542969,153.18898315429686,29.788983154296886,6210.781847328471,322.2989807128906,372.2989807128906,143.9989807128906,20.59898071289064,-9.19000244140625,-9.19000244140625
S004,S014,9318.312212892464,320.9825134277344,370.9825134277344,142.68251342773436,19.98251342773437,9318.312212892464,505.3861083984375,555.3861083984375,327.0861083984375,204.3861083984375,184.40359497070312,184.40359497070312
S004,S015,5649.046264106804,436.229248046875,486.229248046875,257.929248046875,11.729248046875,5649.046264106804,641.2510375976562,691.2510375976562,462.9510375976562,216.75103759765625,205.02178955078125,205.02178955078125
S005,O01,5302.0128076982855,210.3788146972656,260.3788146972656,65.37881469726562,132.67881469726564,5302.0128076982855,276.410888671875,326.410888671875,131.410888671875,198.710888671875,66.0320739746094,66.03207397460938
S005,S001,2935.3982704178266,316.6746826171875,366.6746826171875,171.6746826171875,182.6746826171875,2935.3982704178266,266.13800048828125,316.13800048828125,121.13800048828124,132.13800048828125,-50.53668212890625,-50.53668212890625
S005,S002,3474.1318201907675,313.630615234375,363.630615234375,168.630615234375,144.130615234375,3474.1318201907675,356.79864501953125,406.7986450195313,211.79864501953125,187.29864501953125,43.16802978515625,43.16802978515631
S005,S003,6332.68305025165,308.5106811523437,358.5106811523437,163.51068115234375,20.01068115234375,6332.68305025165,533.8880615234375,583.8880615234375,388.8880615234375,245.3880615234375,225.3773803710938,225.3773803710938
S005,S004,2616.5100450468835,354.7595520019531,404.7595520019531,209.75955200195312,176.4595520019531,2616.5100450468835,315.8065795898437,365.80657958984375,170.80657958984375,137.50657958984374,-38.95297241210943,-38.952972412109375
S005,S006,6124.005239420578,535.872314453125,585.872314453125,390.872314453125,271.072314453125,6124.005239420578,366.7322998046875,416.7322998046875,221.7322998046875,101.93229980468747,-169.1400146484375,-169.1400146484375
S005,S007,4690.978012733275,386.3735656738281,436.3735656738281,241.37356567382807,87.87356567382812,4690.978012733275,467.1478271484375,517.1478271484375,322.1478271484375,168.6478271484375,80.77426147460938,80.77426147460938
