task_id,tau,x,y,z,phase,node
R000002,531.3276306152344,109.23812607108731,23.02324791334203,281.6828918457031,cruise,
R000002,541.3276306152344,109.23861102915978,23.024230474231498,281.6828918457031,cruise,
R000002,551.3276306152344,109.23909598723228,23.025213035120967,281.6828918457031,cruise,
R000002,561.3276306152344,109.23958094530477,23.026195596010435,281.6828918457031,cruise,
R000002,571.3276306152344,109.24006590337724,23.027178156899904,281.6828918457031,cruise,
R000002,581.3276306152344,109.24055086144973,23.028160717789373,281.6828918457031,cruise,
R000002,591.3276306152344,109.24103581952222,23.02914327867884,281.6828918457031,cruise,
R000002,601.3276306152344,109.2415207775947,23.03012583956831,281.6828918457031,cruise,
R000002,611.3276306152344,109.24200573566719,23.03110840045778,281.6828918457031,cruise,
R000002,621.3276306152344,109.24249069373968,23.03209096134725,281.6828918457031,cruise,
R000002,631.3276306152344,109.24297565181217,23.03307352223672,281.6828918457031,cruise,
R000002,636.6115551928008,109.2432319,23.0335927,281.6828918457031,descend,S001
R000002,646.6115551928008,109.2432319,23.0335927,256.6828918457031,descend,S001
R000002,656.6115551928008,109.2432319,23.0335927,231.68289184570312,descend,S001
R000002,666.6115551928008,109.2432319,23.0335927,206.68289184570312,descend,S001
R000002,675.684711931082,109.2432319,23.0335927,184.0,handover,S001
R000002,685.684711931082,109.2432319,23.0335927,184.0,handover,S001
R000002,695.684711931082,109.2432319,23.0335927,184.0,handover,S001
R000002,705.684711931082,109.2432319,23.0335927,184.0,handover,S001
R000002,715.684711931082,109.2432319,23.0335927,184.0,handover,S001
R000002,725.684711931082,109.2432319,23.0335927,184.0,handover,S001
R000002,735.684711931082,109.2432319,23.0335927,184.0,handover,S001
R000002,745.684711931082,109.2432319,23.0335927,184.0,handover,S001
R000002,755.684711931082,109.2432319,23.0335927,184.0,handover,S001
R000002,765.684711931082,109.2432319,23.0335927,184.0,handover,S001
R000002,775.684711931082,109.2432319,23.0335927,184.0,handover,S001
R000002,785.684711931082,109.2432319,23.0335927,184.0,handover,S001
R000002,795.684711931082,109.2432319,23.0335927,184.0,handover,S001
R000002,805.684711931082,109.2432319,23.0335927,184.0,handover,S001
R000002,815.684711931082,109.2432319,23.0335927,184.0,handover,S001
R000002,825.684711931082,109.2432319,23.0335927,184.0,handover,S001
R000002,835.684711931082,109.2432319,23.0335927,184.0,handover,S001
R000002,845.684711931082,109.2432319,23.0335927,184.0,handover,S001
R000002,855.684711931082,109.2432319,23.0335927,184.0,climb,S001
R000002,865.684711931082,109.2432319,23.0335927,214.0,climb,S001
R000002,875.684711931082,109.2432319,23.0335927,244.0,climb,S001
R000002,876.6032859463814,109.2432319,23.0335927,246.75572204589844,cruise,
R000002,886.6032859463814,109.2427469419275,23.03261013911053,246.75572204589844,cruise,
R000002,896.6032859463814,109.24226198385503,23.031627578221062,246.75572204589844,cruise,
R000002,906.6032859463814,109.24177702578254,23.030645017331594,246.75572204589844,cruise,
R000002,916.6032859463814,109.24129206771005,23.029662456442125,246.75572204589844,cruise,
R000002,926.6032859463814,109.24080710963756,23.028679895552656,246.75572204589844,cruise,
R000002,936.6032859463814,109.24032215156508,23.027697334663188,246.75572204589844,cruise,
R000002,946.6032859463814,109.23983719349259,23.02671477377372,246.75572204589844,cruise,
R000002,956.6032859463814,109.2393522354201,23.02573221288425,246.75572204589844,cruise,
R000002,966.6032859463814,109.23886727734762,23.02474965199478,246.75572204589844,cruise,
R000002,976.6032859463814,109.23838231927513,23.023767091105313,246.75572204589844,cruise,
R000002,986.6032859463814,109.23789736120264,23.022784530215844,246.75572204589844,cruise,
R000002,996.6032859463814,109.23741240313016,23.021801969326376,246.75572204589844,cruise,
R000002,1006.6032859463814,109.23692744505767,23.020819408436907,246.75572204589844,cruise,
R000002,1016.6032859463814,109.23644248698518,23.019836847547438,246.75572204589844,cruise,
R000002,1026.6032859463814,109.23595752891269,23.01885428665797,246.75572204589844,cruise,
R000002,1036.6032859463814,109.23547257084022,23.0178717257685,246.75572204589844,cruise,
R000002,1046.6032859463814,109.23498761276772,23.016889164879032,246.75572204589844,cruise,
