pattern_id,gap_id,gap_index,tau_start,tau_end,duration_s,coverage_start,coverage_end,coverage_duration_s,n_outage_samples,before_tau,before_direct,before_x,before_y,before_z,before_phase,before_node,before_margin_db,after_tau,after_direct,after_x,after_y,after_z,after_phase,after_node,after_margin_db
P003975,PG002859,2,1229.231,1900.467,671.236,1219.231,1900.467,681.236,68,1219.231,1,109.22718241427184,23.05776777521336,366.78717041015625,cruise,,7.147219742190757,1900.467,1,109.22078425598859,23.04799176386863,372.9093322753906,cruise,,8.85240915902888
P003976,PG002860,1,791.736,1485.133,693.397,781.736,1485.133,703.397,72,781.736,1,109.22147513467998,23.045282292153264,372.9093322753906,cruise,,9.468262821122252,1485.133,1,109.22726816327786,23.057638612902196,366.78717041015625,cruise,,7.170824020288308
P003976,PG002861,2,1515.133,1585.133,70.0,1505.133,1585.133,80.0,7,1505.133,1,109.22879668572816,23.05533622478664,366.78717041015625,cruise,,7.599452376317572,1585.133,1,109.23491077552936,23.046126672324405,366.78717041015625,cruise,,9.461950982763199
P003977,PG002862,1,1129.231,1199.231,70.0,1119.231,1199.231,80.0,7,1119.231,1,109.23482502652334,23.04625583463557,366.78717041015625,cruise,,9.434304197003115,1199.231,1,109.22871093672214,23.055465387097804,366.78717041015625,cruise,,7.575009801700304
P003977,PG002863,2,1229.231,1900.467,671.236,1219.231,1900.467,681.236,68,1219.231,1,109.22718241427184,23.05776777521336,366.78717041015625,cruise,,7.147219742190757,1900.467,1,109.22078425598859,23.04799176386863,372.9093322753906,cruise,,8.85240915902888
P003978,PG002864,1,791.736,1485.133,693.397,781.736,1485.133,703.397,72,781.736,1,109.22147513467998,23.045282292153264,372.9093322753906,cruise,,9.468262821122252,1485.133,1,109.22726816327786,23.057638612902196,366.78717041015625,cruise,,7.170824020288308
P003978,PG002865,2,1515.133,1585.133,70.0,1505.133,1585.133,80.0,7,1505.133,1,109.22879668572816,23.05533622478664,366.78717041015625,cruise,,7.599452376317572,1585.133,1,109.23491077552936,23.046126672324405,366.78717041015625,cruise,,9.461950982763199
P003979,PG002866,1,924.712,1388.366,463.654,914.712,1388.366,473.654,48,914.712,1,109.24630898097097,23.039714484975192,293.2289123535156,cruise,,0.3132057839973328,1388.366,1,109.2468165814978,23.040581839017396,293.2289123535156,cruise,,0.06807862365052131
P003980,PG002867,1,685.176,1143.056,457.879,675.176,1143.056,467.879,48,675.176,1,109.2467243067548,23.040396465462308,293.2289123535156,cruise,,0.11835683589538348,1143.056,1,109.2467574056697,23.040606616059534,293.2289123535156,cruise,,0.06810498546191468
P003981,PG002868,1,924.712,1388.366,463.654,914.712,1388.366,473.654,48,914.712,1,109.24630898097097,23.039714484975192,293.2289123535156,cruise,,0.3132057839973328,1388.366,1,109.2468165814978,23.040581839017396,293.2289123535156,cruise,,0.06807862365052131
P003982,PG002869,1,685.176,1143.056,457.879,675.176,1143.056,467.879,48,675.176,1,109.2467243067548,23.040396465462308,293.2289123535156,cruise,,0.11835683589538348,1143.056,1,109.2467574056697,23.040606616059534,293.2289123535156,cruise,,0.06810498546191468
P003983,PG002870,1,924.712,1388.366,463.654,914.712,1388.366,473.654,48,914.712,1,109.24630898097097,23.039714484975192,293.2289123535156,cruise,,0.3132057839973328,1388.366,1,109.2468165814978,23.040581839017396,293.2289123535156,cruise,,0.06807862365052131
P003984,PG002871,1,685.176,1143.056,457.879,675.176,1143.056,467.879,48,675.176,1,109.2467243067548,23.040396465462308,293.2289123535156,cruise,,0.11835683589538348,1143.056,1,109.2467574056697,23.040606616059534,293.2289123535156,cruise,,0.06810498546191468
P003985,PG002872,1,954.712,1448.366,493.654,944.712,1448.366,503.654,51,944.712,1,109.24630898097097,23.039714484975192,293.2289123535156,cruise,,0.3132057839973328,1448.366,1,109.2468165814978,23.040581839017396,293.2289123535156,cruise,,0.06807862365052131
