task_id,uav_type,n_stops,visit_order,duration_s,energy_kWh,latest_start_s,direct_time_s,outage_time_s,outage_ratio,gap_count,max_gap_s,min_margin_db,needs_relay
R000135,B,1,S002,1759.8886725284528,2.368649062244219,,1018.6043362642264,741.2843362642265,0.4212109253474622,1,741.2843362642265,-5.48219992618948,1
R000136,B,1,S002,1759.8886725284528,2.414765925213808,,1018.6043362642264,741.2843362642265,0.4212109253474622,1,741.2843362642265,-5.48219992618948,1
R000137,B,1,S002,1699.8886725284528,2.368649062244219,2498.1,988.6043362642264,711.2843362642265,0.4184299523604955,1,711.2843362642265,-5.48219992618948,1
R000138,B,1,S002,1759.8886725284528,2.5278631894397154,2438.1,1018.6043362642264,741.2843362642265,0.4212109253474622,1,741.2843362642265,-5.48219992618948,1
R000139,B,1,S002,1759.8886725284528,2.597196285968586,2438.1,1018.6043362642264,741.2843362642265,0.4212109253474622,1,741.2843362642265,-5.48219992618948,1
R000140,B,1,S002,1759.8886725284528,2.8791533493746737,2438.1,1018.6043362642264,741.2843362642265,0.4212109253474622,1,741.2843362642265,-5.48219992618948,1
R000141,B,1,S002,1699.8886725284528,2.2076096318361778,2498.1,988.6043362642264,711.2843362642265,0.4184299523604955,1,711.2843362642265,-5.48219992618948,1
R000142,B,1,S002,1759.8886725284528,2.2775994664327692,2438.1,1018.6043362642264,741.2843362642265,0.4212109253474622,1,741.2843362642265,-5.48219992618948,1
R000143,B,1,S002,1759.8886725284528,2.31020487373459,2438.1,1018.6043362642264,741.2843362642265,0.4212109253474622,1,741.2843362642265,-5.48219992618948,1
R000144,B,1,S002,1819.8886725284528,2.4966496823506805,2378.1,1048.6043362642263,771.2843362642265,0.4238085262614699,1,771.2843362642265,-5.48219992618948,1
R000145,B,1,S002,1759.8886725284528,2.44024626994997,2438.1,1018.6043362642264,741.2843362642265,0.4212109253474622,1,741.2843362642265,-5.48219992618948,1
R000146,B,1,S002,1819.8886725284528,2.721922975511305,2378.1,1048.6043362642263,771.2843362642265,0.4238085262614699,1,771.2843362642265,-5.48219992618948,1
R000147,B,1,S003,1960.2414747964503,2.2875220919905983,,1172.4140707315587,787.8274040648918,0.401903242123116,1,787.8274040648918,-5.288334514260441,1
R000148,B,1,S003,1960.2414747964503,2.314518279263184,,1172.4140707315587,787.8274040648918,0.401903242123116,1,787.8274040648918,-5.288334514260441,1
R000149,B,1,S003,2020.2414747964503,2.4234670793332462,,1202.4140707315587,817.8274040648918,0.40481665893295854,1,817.8274040648918,-5.288334514260441,1
R000150,B,1,S003,2020.2414747964503,2.4704495370400963,,1202.4140707315587,817.8274040648918,0.40481665893295854,1,817.8274040648918,-5.288334514260441,1
R000151,B,1,S003,1960.2414747964503,2.4234670793332462,5971.9,1172.4140707315587,787.8274040648918,0.401903242123116,1,787.8274040648918,-5.288334514260441,1
R000152,B,1,S003,2020.2414747964503,2.584789173829935,5911.9,1202.4140707315587,817.8274040648918,0.40481665893295854,1,817.8274040648918,-5.288334514260441,1
R000153,B,1,S003,2020.2414747964503,2.654443926315979,5911.9,1202.4140707315587,817.8274040648918,0.40481665893295854,1,817.8274040648918,-5.288334514260441,1
R000154,B,1,S003,2020.2414747964503,2.9356331829311175,5911.9,1202.4140707315587,817.8274040648918,0.40481665893295854,1,817.8274040648918,-5.288334514260441,1
R000155,B,1,S003,1960.2414747964503,2.2554972522689534,5971.9,1172.4140707315587,787.8274040648918,0.401903242123116,1,787.8274040648918,-5.288334514260441,1
