state_id,x,y,z,phase,node,direct,state_kind
BS000140,109.21105617,23.052927561,618.613342,cruise,,1,boundary
BS000141,109.195134124,23.022203916,590.361328,cruise,,1,boundary
BS000142,109.1928191,23.0294186,590.361328,descend,S007,1,boundary
BS000143,109.1928191,23.0294186,588.5,climb,S007,1,boundary
BS000144,109.1928191,23.0294186,590.361328,cruise,,1,boundary
BS000145,109.195143838,23.022173642,590.361328,cruise,,1,boundary
BS000146,109.244815845,23.04713457,391.071289,cruise,,1,boundary
BS000147,109.24564575,23.047861057,391.071289,cruise,,1,boundary
BS000148,109.267920815,23.018159748,433.222778,cruise,,1,boundary
BS000149,109.266864622,23.017997829,433.222778,cruise,,1,boundary
BS000150,109.26387917,23.028638251,394.170929,cruise,,1,boundary
BS000151,109.263648228,23.028562859,394.170929,cruise,,1,boundary
BS000152,109.268921201,23.005648195,606.662109,cruise,,1,boundary
BS000153,109.268362891,23.005664877,606.662109,cruise,,1,boundary
BS000154,109.195401808,23.032413459,651.260132,cruise,,1,boundary
BS000155,109.195248788,23.033276011,651.260132,cruise,,1,boundary
BS000156,109.204545017,23.034367294,468.370819,cruise,,1,boundary
BS000157,109.249316698,23.053262307,468.370819,cruise,,1,boundary
BS000158,109.248812438,23.053049494,468.370819,cruise,,1,boundary
BS000159,109.205106749,23.034604362,468.370819,cruise,,1,boundary
BS000160,109.266715291,23.02052088,436.949646,cruise,,1,boundary
BS000161,109.199279354,23.028640731,436.949646,cruise,,1,boundary
BS000162,109.200987807,23.0301621,439.175354,cruise,,1,boundary
BS000163,109.200497312,23.030117456,439.175354,cruise,,1,boundary
BS000164,109.267866894,23.031013459,432.538116,cruise,,1,boundary
BS000165,109.199871446,23.029568471,432.538116,cruise,,1,boundary
BS000166,109.199853112,23.029568082,432.538116,cruise,,1,boundary
BS000167,109.26784856,23.03101307,432.538116,cruise,,1,boundary
BS000168,109.215982211,23.059223973,412.916504,cruise,,1,boundary
BS000169,109.215908743,23.059684705,412.916504,cruise,,1,boundary
BS000170,109.207272781,23.071433087,710.450928,cruise,,1,boundary
BS000171,109.2127472,23.0795113,560.450928,descend,S008,1,boundary
BS000172,109.2127472,23.0795113,570.9,climb,S008,1,boundary
BS000173,109.207161882,23.071269442,710.450928,cruise,,1,boundary
BS000174,109.269133886,23.030696426,482.957275,cruise,,1,boundary
BS000175,109.265692429,23.036344189,482.957275,cruise,,1,boundary
BS000176,109.262824548,23.041050659,482.957275,cruise,,1,boundary
BS000177,109.257662362,23.049522303,482.957275,cruise,,1,boundary
BS000178,109.257583857,23.049651137,482.957275,cruise,,1,boundary
BS000179,109.262746043,23.041179492,482.957275,cruise,,1,boundary
BS000180,109.265613924,23.036473023,482.957275,cruise,,1,boundary
BS000181,109.269055381,23.03082526,482.957275,cruise,,1,boundary
BS000182,109.2362744,23.042944025,315.667664,cruise,,1,boundary
BS000183,109.236328447,23.042981396,315.667664,cruise,,1,boundary
BS000184,109.255816743,23.052451547,552.772797,cruise,,1,boundary
BS000185,109.26921149,23.029672719,552.772797,cruise,,1,boundary
BS000186,109.269643739,23.028937645,552.772797,cruise,,1,boundary
BS000187,109.256248992,23.051716473,552.772797,cruise,,1,boundary
BS000188,109.211045611,23.051221075,582.326782,cruise,,1,boundary
BS000189,109.253046386,23.055195195,582.326782,cruise,,1,boundary
BS000190,109.252975712,23.055188508,582.326782,cruise,,1,boundary
BS000191,109.210974937,23.051214388,582.326782,cruise,,1,boundary
BS000192,109.265899302,23.021676234,437.043335,cruise,,1,boundary
BS000193,109.265764967,23.021706445,437.043335,cruise,,1,boundary
BS000194,109.245465122,23.040942863,420.450562,cruise,,1,boundary
BS000195,109.253113237,23.043688009,420.450562,cruise,,1,boundary
