task_id,cargo_pattern,n_boxes,total_mass_kg,total_volume_m3,end_SOC,has_hard_deadline,uav_type,n_stops,visit_order,duration_s,energy_kWh,latest_start_s,direct_time_s,outage_time_s,outage_ratio,gap_count,max_gap_s,min_margin_db,needs_relay
R069458,S008:[卫生:1] S011:[医疗:1],2,9.0,0.047,0.349965,True,C,2,S008>S011,2300.427513918611,5.200283020716948,8804.5,1575.985447307601,724.4420666110104,0.3149162763129084,1,724.4420666110104,-6.238708362975757,1
R069459,S011:[卫生:1] S008:[医疗:1],2,9.0,0.047,0.352655,True,C,2,S011>S008,2300.427513918611,5.178760623302082,9927.5,1596.0675020410788,704.3600118775323,0.3061865708073132,1,704.3600118775323,-6.238708362975757,1
R069461,S011:[卫生:1] S008:[医疗:1|食品:1],3,17.0,0.075,0.348234,True,C,2,S011>S008,2366.427513918611,5.214127052458,9861.5,1662.0675020410788,704.3600118775323,0.2976469837908407,1,704.3600118775323,-6.238708362975757,1
R069463,S011:[卫生:1] S008:[医疗:1|饮水:1],3,23.0,0.074,0.343984,True,C,2,S011>S008,2366.427513918611,5.248131235999281,9861.5,1662.0675020410788,704.3600118775323,0.2976469837908407,1,704.3600118775323,-6.238708362975757,1
R069465,S011:[卫生:1] S008:[医疗:1|饮水:1|食品:1],4,31.0,0.102,0.336983,True,C,2,S011>S008,2432.427513918611,5.304136952941711,9795.5,1728.0675020410788,704.3600118775323,0.2895708126335148,1,704.3600118775323,-6.238708362975757,1
R069467,S011:[食品:1] S008:[食品:1],2,16.0,0.056,0.347412,False,C,2,S011>S008,2300.427513918611,5.220707267688642,,1596.0675020410788,704.3600118775323,0.3061865708073132,1,704.3600118775323,-6.238708362975757,1
R069469,S011:[食品:1] S008:[饮水:1],2,22.0,0.055,0.343296,True,C,2,S011>S008,2300.427513918611,5.253632066912342,9927.5,1596.0675020410788,704.3600118775323,0.3061865708073132,1,704.3600118775323,-6.238708362975757,1
R069471,S011:[食品:1] S008:[饮水:1|食品:1],3,30.0,0.083,0.336495,True,C,2,S011>S008,2366.427513918611,5.308038617553068,9861.5,1662.0675020410788,704.3600118775323,0.2976469837908407,1,704.3600118775323,-6.238708362975757,1
R069472,S008:[食品:1] S011:[医疗:1],2,11.0,0.04,0.347397,True,C,2,S008>S011,2300.427513918611,5.2208275641832325,8804.5,1575.985447307601,724.4420666110104,0.3149162763129084,1,724.4420666110104,-6.238708362975757,1
R069473,S011:[食品:1] S008:[医疗:1],2,11.0,0.04,0.350232,True,C,2,S011>S008,2300.427513918611,5.198144594688508,9927.5,1596.0675020410788,704.3600118775323,0.3061865708073132,1,704.3600118775323,-6.238708362975757,1
R069475,S011:[食品:1] S008:[医疗:1|食品:1],3,19.0,0.068,0.345454,True,C,2,S011>S008,2366.427513918611,5.236364893020946,9861.5,1662.0675020410788,704.3600118775323,0.2976469837908407,1,704.3600118775323,-6.238708362975757,1
R069477,S011:[食品:1] S008:[医疗:1|饮水:1],3,25.0,0.067,0.34093,True,C,2,S011>S008,2366.427513918611,5.27256229198888,9861.5,1662.0675020410788,704.3600118775323,0.2976469837908407,1,704.3600118775323,-6.238708362975757,1
R069479,S011:[食品:1] S008:[医疗:1|饮水:1|食品:1],4,33.0,0.095,0.333517,True,C,2,S011>S008,2432.427513918611,5.33186735611228,9795.5,1728.0675020410788,704.3600118775323,0.2895708126335148,1,704.3600118775323,-6.238708362975757,1
R069483,S011:[食品:1|卫生:1] S008:[饮水:1],3,28.0,0.09,0.332897,True,C,2,S011>S008,2366.427513918611,5.336821191984504,9897.5,1626.0675020410788,740.3600118775323,0.3128597886573573,1,740.3600118775323,-6.238708362975757,1
R069487,S011:[食品:1|卫生:1] S008:[医疗:1],3,17.0,0.075,0.341333,True,C,2,S011>S008,2366.427513918611,5.269334863578939,9897.5,1626.0675020410788,740.3600118775323,0.3128597886573573,1,740.3600118775323,-6.238708362975757,1
R069489,S011:[食品:1|卫生:1] S008:[医疗:1|食品:1],4,25.0,0.103,0.335482,True,C,2,S011>S008,2432.427513918611,5.316147421221292,9831.5,1692.0675020410788,740.3600118775323,0.3043708425599994,1,740.3600118775323,-6.238708362975757,1
R069491,S011:[食品:1|卫生:1] S008:[医疗:1|饮水:1],4,31.0,0.102,0.330082,True,C,2,S011>S008,2432.427513918611,5.35934476406265,9831.5,1692.0675020410788,740.3600118775323,0.3043708425599994,1,740.3600118775323,-6.238708362975757,1
R069494,S008:[饮水:1] S011:[食品:1],2,22.0,0.055,0.325575,True,C,2,S008>S011,2300.427513918611,5.3954035353411705,5934.3,1575.985447307601,724.4420666110104,0.3149162763129084,1,724.4420666110104,-6.238708362975757,1
R069495,S011:[饮水:1] S008:[食品:1],2,22.0,0.055,0.337848,True,C,2,S011>S008,2300.427513918611,5.297217196144753,5603.6,1596.0675020410788,704.3600118775323,0.3061865708073132,1,704.3600118775323,-6.238708362975757,1
R069496,S008:[饮水:1] S011:[饮水:1],2,28.0,0.054,0.306717,True,C,2,S008>S011,2300.427513918611,5.546266280739486,5934.3,1575.985447307601,724.4420666110104,0.3149162763129084,1,724.4420666110104,-6.238708362975757,1
R069497,S011:[饮水:1] S008:[饮水:1],2,28.0,0.054,0.332897,True,C,2,S011>S008,2300.427513918611,5.336821191984504,5603.6,1596.0675020410788,704.3600118775323,0.3061865708073132,1,704.3600118775323,-6.238708362975757,1
R069499,S011:[饮水:1] S008:[饮水:1|食品:1],3,36.0,0.082,0.324829,True,C,2,S011>S008,2366.427513918611,5.401367534609387,5537.6,1662.0675020410788,704.3600118775323,0.2976469837908407,1,704.3600118775323,-6.238708362975757,1
