pattern_id,uav_type,n_stops,visit_order,n_boxes,total_mass_kg,total_volume_m3,energy_kWh,duration_s,end_SOC,has_hard_deadline,latest_start_s
P017680,C,2,S005>S008,6,50.0,0.134,5.93200048752042,2578.5399213047053,0.2584999390599475,True,5325.499276653962
P017681,C,2,S008>S005,6,50.0,0.134,6.246759880904423,2578.5399213047053,0.2191550148869471,True,5742.280802041333
P017682,C,2,S005>S008,6,42.0,0.14200000000000002,5.704479349503765,2578.5399213047053,0.2869400813120294,True,5325.499276653962
P017683,C,2,S008>S005,6,42.0,0.14200000000000002,5.977559856494629,2578.5399213047053,0.25280501793817134,True,5742.280802041333
P017684,C,2,S005>S008,7,56.0,0.169,6.1430848559607565,2644.5399213047053,0.23211439300490544,True,5259.499276653962
P017685,C,2,S005>S008,7,56.0,0.169,6.1430848559607565,2644.5399213047053,0.23211439300490544,True,5259.499276653962
P017686,C,2,S005>S008,5,53.0,0.121,5.944333042762183,2512.5399213047053,0.25695836965472707,True,9527.342679682093
P017687,C,2,S005>S008,5,53.0,0.121,5.944333042762183,2512.5399213047053,0.25695836965472707,True,5391.499276653962
P017688,C,2,S005>S008,5,45.0,0.129,5.717140354015795,2512.5399213047053,0.2853574557480256,True,9527.342679682093
P017689,C,2,S008>S005,5,45.0,0.129,6.1891813428495155,2512.5399213047053,0.22635233214381056,True,8792.8473990132
P017690,C,2,S005>S008,6,59.0,0.156,6.158727925984262,2578.5399213047053,0.2301590092519672,True,5325.499276653962
P017691,C,2,S005>S008,5,47.0,0.122,5.768368164179663,2512.5399213047053,0.2789539794775421,True,9527.342679682093
P017692,C,2,S008>S005,5,47.0,0.122,6.256295663414164,2512.5399213047053,0.21796304207322947,True,8792.8473990132
P017693,C,2,S005>S008,5,42.0,0.106,5.6468396005080095,2512.5399213047053,0.2941450499364988,True,5391.499276653962
P017694,C,2,S008>S005,5,42.0,0.106,6.095716175480283,2512.5399213047053,0.2380354780649646,True,5844.280802041333
P017695,C,2,S005>S008,6,56.0,0.133,6.0462149556298765,2578.5399213047053,0.24422313054626543,True,5325.499276653962
P017696,C,2,S005>S008,7,62.0,0.16799999999999998,6.283220816113853,2644.5399213047053,0.21459739798576838,True,5259.499276653962
P017697,C,2,S005>S008,7,62.0,0.16799999999999998,6.283220816113853,2644.5399213047053,0.21459739798576838,True,5259.499276653962
P017698,C,2,S005>S008,7,64.0,0.161,6.373679689152816,2644.5399213047053,0.20329003885589803,True,5259.499276653962
P017699,C,2,S005>S008,7,64.0,0.161,6.373679689152816,2644.5399213047053,0.20329003885589803,True,5259.499276653962
P017700,C,2,S005>S008,7,56.0,0.169,6.0462149556298765,2644.5399213047053,0.24422313054626543,True,5259.499276653962
P017701,C,2,S005>S008,6,59.0,0.156,6.092438582024796,2578.5399213047053,0.2384451772469005,True,9461.342679682093
P017702,C,2,S005>S008,6,61.0,0.149,6.168487711473313,2578.5399213047053,0.22893903606583588,True,9461.342679682093
P017703,C,2,S005>S008,6,56.0,0.133,5.988575206634122,2578.5399213047053,0.2514280991707347,True,5325.499276653962
P017704,C,2,S005>S008,6,59.0,0.156,6.125636075340784,2578.5399213047053,0.23429549058240196,True,9461.342679682093
P017705,C,2,S005>S008,6,59.0,0.156,6.125636075340784,2578.5399213047053,0.23429549058240196,True,5325.499276653962
P017706,C,2,S005>S008,6,51.0,0.164,5.858077192945506,2578.5399213047053,0.2677403508818117,True,9461.342679682093
P017707,C,2,S005>S008,7,65.0,0.191,6.3812087117114,2644.5399213047053,0.202348911036075,True,5259.499276653962
P017708,C,2,S005>S008,6,53.0,0.157,5.918193028239601,2578.5399213047053,0.26022587147004983,True,9461.342679682093
P017709,C,2,S005>S008,6,48.0,0.14100000000000001,5.775652082769616,2578.5399213047053,0.278043489653798,True,5325.499276653962
P017710,C,2,S008>S005,6,48.0,0.14100000000000001,6.3587775438757,2578.5399213047053,0.2051528070155375,True,5814.280802041333
P017711,C,2,S005>S008,7,62.0,0.168,6.246650878490284,2644.5399213047053,0.21916864018871451,True,5259.499276653962
