from,to,distance,h_max,cruise_height,climb_height,descent_height
S015,S005,3749.6273030530915,665.5194091796875,715.5194091796875,241.0194091796875,520.5194091796875
S015,S006,4702.818713985765,462.42559814453125,512.4255981445312,37.92559814453125,197.62559814453124
S015,S007,2228.379705571588,436.229248046875,486.229248046875,11.729248046875,137.729248046875
S015,S008,3938.556255192018,634.592041015625,684.592041015625,210.092041015625,413.692041015625
S015,S009,6352.730835619762,660.640625,710.640625,236.140625,480.640625
S015,S010,9187.940692404369,534.3829345703125,584.3829345703125,109.8829345703125,232.78293457031248
S015,S011,3461.7683247234245,472.273193359375,522.273193359375,47.773193359375,310.173193359375
S015,S012,9302.59595392879,657.286865234375,707.286865234375,232.786865234375,427.486865234375
S015,S013,8338.184804497143,458.4856872558594,508.4856872558594,33.985687255859375,156.7856872558594
S015,S014,10551.902543915849,462.3328857421875,512.3328857421875,37.8328857421875,161.3328857421875
