type,service,N_f,E_total,T_total,batch_idx,n_boxes,mass,volume,energy_kWh,time_s
B,S013,1,1.8209951870678336,1507.5018734358305,2,3,25.0,0.067,1.8209951870678336,1507.5018734358305
B,S014,1,2.0196221452292424,1580.116744566375,2,3,25.0,0.067,2.0196221452292424,1580.116744566375
B,S015,1,2.2954594864258335,1799.1455897396588,2,3,25.0,0.067,2.2954594864258335,1799.1455897396588
C,S001,2,5.926638928479638,3157.0380636530954,17112,9,76.0,0.23100000000000004,2.9240743474800217,1677.5190318265477
C,S001,2,5.926638928479638,3157.0380636530954,5,6,78.0,0.163,3.002564580999616,1479.5190318265477
C,S002,2,10.535570653904827,4200.681287928,220,5,39.0,0.13,5.228584614026707,2166.340643964
C,S002,2,10.535570653904827,4200.681287928,2,3,42.0,0.081,5.306986039878121,2034.3406439639998
C,S003,2,10.339160951207239,4291.200047574672,220,5,39.0,0.13,5.131203002993393,2211.600023787336
C,S003,2,10.339160951207239,4291.200047574672,2,3,42.0,0.081,5.207957948213846,2079.600023787336
C,S004,1,6.119363799617691,2188.2416882588564,5,6,59.0,0.15600000000000003,6.119363799617691,2188.2416882588564
C,S005,1,4.168924263280374,1723.9815699571022,5,6,59.0,0.15600000000000003,4.168924263280374,1723.9815699571022
C,S006,1,2.5631494790859533,1487.1161986006484,5,6,59.0,0.15600000000000003,2.5631494790859533,1487.1161986006484
C,S007,1,3.382114976092084,1896.7154889141789,4,5,45.0,0.129,3.382114976092084,1896.7154889141789
C,S008,1,5.825076922464769,2136.7274297308095,4,5,45.0,0.129,5.825076922464769,2136.7274297308095
C,S009,1,3.810224451486021,1733.5499534524224,2,3,25.0,0.067,3.810224451486021,1733.5499534524224
C,S010,1,3.2091793124866874,1631.0521696745568,2,3,25.0,0.067,3.2091793124866874,1631.0521696745568
C,S011,1,1.8815368720890604,1209.5152293806445,2,3,25.0,0.067,1.8815368720890604,1209.5152293806445
C,S012,1,4.921662158965991,2034.4595433058435,2,3,25.0,0.067,4.921662158965991,2034.4595433058435
C,S013,1,3.245148464638979,1608.0038051985257,2,3,25.0,0.067,3.245148464638979,1608.0038051985257
C,S014,1,3.608170022644364,1680.085410134409,2,3,25.0,0.067,3.608170022644364,1680.085410134409
C,S015,1,4.065401280617948,1930.4633560563907,2,3,25.0,0.067,4.065401280617948,1930.4633560563907
